"","PARTICIPANT.ID","AGE","Classes"
"1",1,23,"1"
"2",2,23,"3"
"3",3,19,"1"
"4",4,22,"2"
"5",5,21,"3"
"6",6,20,"3"
"7",7,25,"3"
"8",8,24,"1"
"9",9,27,"3"
"10",10,22,"1"
"11",11,17,"1"
"12",12,55,"3"
"13",13,20,"2"
"14",14,19,"3"
"15",15,20,"3"
"16",16,19,"2"
"17",17,20,"3"
"18",18,20,"2"
"19",19,20,"3"
"20",20,20,"3"
"21",21,19,"1"
"22",22,20,"3"
"23",23,20,"2"
"24",24,23,"3"
"25",25,20,"3"
"26",26,35,"3"
"27",27,20,"2"
"28",28,20,"3"
"29",29,20,"2"
"30",30,20,"3"
"31",31,20,"3"
"32",32,20,"2"
"33",33,20,"2"
"34",34,34,"3"
"35",35,20,"2"
"36",36,34,"1"
"37",37,21,"2"
"38",38,17,"2"
"39",39,20,"3"
"40",40,34,"3"
"41",41,22,"1"
"42",42,29,"2"
"43",43,19,"2"
"44",44,20,"3"
"45",45,23,"2"
"46",46,23,"2"
"47",47,20,"3"
"48",48,20,"2"
"49",49,20,"1"
"50",50,19,"3"
"51",51,23,"2"
"52",52,21,"2"
"53",53,22,"2"
"54",54,23,"3"
"55",55,18,"2"
"56",56,22,"1"
"57",57,61,"3"
"58",58,15,"2"
"59",59,44,"2"
"60",60,22,"2"
"61",61,62,"3"
"62",62,20,"3"
"63",63,30,"1"
"64",64,20,"2"
"65",65,18,"3"
"66",66,20,"2"
"67",67,22,"2"
"68",68,24,"3"
"69",69,22,"2"
"70",70,23,"2"
"71",71,21,"3"
"72",72,28,"3"
"73",73,22,"2"
"74",74,19,"2"
"75",75,72,"3"
"76",76,28,"3"
"77",77,22,"3"
"78",78,54,"3"
"79",79,20,"2"
"80",80,20,"2"
"81",81,25,"1"
"82",82,23,"1"
"83",83,19,"3"
"84",84,26,"2"
"85",85,23,"3"
"86",86,22,"2"
"87",87,23,"2"
"88",88,55,"3"
"89",89,67,"3"
"90",90,20,"3"
"91",91,63,"3"
"92",92,24,"3"
"93",93,56,"1"
"94",94,20,"1"
"95",95,56,"3"
"96",96,22,"3"
"97",97,38,"2"
"98",98,22,"2"
"99",99,24,"3"
"100",100,23,"3"
"101",101,22,"2"
"102",102,36,"2"
"103",103,23,"2"
"104",104,23,"3"
"105",105,19,"1"
"106",106,22,"3"
"107",107,20,"3"
"108",108,22,"2"
"109",109,31,"2"
"110",110,21,"2"
"111",111,21,"3"
"112",112,22,"3"
"113",113,22,"2"
"114",114,17,"3"
"115",115,19,"3"
"116",116,28,"2"
"117",117,25,"3"
"118",118,17,"3"
"119",119,23,"1"
