PARTICIPANT ID;GENRE;genre.preference;STOMP2;STOMP1;GOLD-MSI SCORE
1;16;Pop;Unpretentious;Upbeat & Conventional;60
2;1;Alternative;Intense;Intense & Rebellious;58
3;6;Dance/Electronic;Mellow;Energetic & Rhythmic;63
4;16;Pop;Unpretentious;Upbeat & Conventional;83
5;1;Alternative;Intense;Intense & Rebellious;68
6;7;Folk;Sophisticated;Reflective&Complex;30
7;5;Country;Unpretentious;Upbeat & Conventional;53
8;10;Heavy Metal;Intense;Intense & Rebellious;78
9;3;Blues;Sophisticated;Reflective&Complex;57
10;7;Folk;Sophisticated;Reflective&Complex;66
11;1;Alternative;Intense;Intense & Rebellious;92
12;3;Blues;Sophisticated;Reflective&Complex;53
13;4;Classical;Sophisticated;Reflective&Complex;101
14;4;Classical;Sophisticated;Reflective&Complex;63
15;3;Blues;Sophisticated;Reflective&Complex;70
16;3;Blues;Sophisticated;Reflective&Complex;54
17;18;Rap/Hip-Hop;Contemporary;Energetic & Rhythmic;101
18;4;Classical;Sophisticated;Reflective&Complex;55
19;16;Pop;Unpretentious;Upbeat & Conventional;46
20;12;Jazz;Sophisticated;Reflective&Complex;73
21;1;Alternative;Intense;Intense & Rebellious;58
22;1;Alternative;Intense;Intense & Rebellious;60
23;21;Rock;Intense;Intense & Rebellious;49
24;7;Folk;Sophisticated;Reflective&Complex;52
25;16;Pop;Unpretentious;Upbeat & Conventional;68
26;6;Dance/Electronic;Mellow;Energetic & Rhythmic;67
27;14;Oldies;#N/B;Upbeat & Conventional;44
28;5;Country;Unpretentious;Upbeat & Conventional;46
29;4;Classical;Sophisticated;Reflective&Complex;96
30;16;Pop;Unpretentious;Upbeat & Conventional;74
31;1;Alternative;Intense;Intense & Rebellious;101
32;16;Pop;Unpretentious;Upbeat & Conventional;86
33;6;Dance/Electronic;Mellow;Energetic & Rhythmic;98
34;8;Funk;Contemporary;Energetic & Rhythmic;80
35;4;Classical;Sophisticated;Reflective&Complex;79
36;16;Pop;Unpretentious;Upbeat & Conventional;53
37;4;Classical;Sophisticated;Reflective&Complex;79
38;1;Alternative;Intense;Intense & Rebellious;99
39;8;Funk;Contemporary;Energetic & Rhythmic;75
40;3;Blues;Sophisticated;Reflective&Complex;65
41;1;Alternative;Intense;Intense & Rebellious;59
42;4;Classical;Sophisticated;Reflective&Complex;63
43;16;Pop;Unpretentious;Upbeat & Conventional;82
44;1;Alternative;Intense;Intense & Rebellious;53
45;12;Jazz;Sophisticated;Reflective&Complex;88
46;4;Classical;Sophisticated;Reflective&Complex;119
47;1;Alternative;Intense;Intense & Rebellious;64
